Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CATEGORY,CHECK_PRICES,DESCRIPTION,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MAXIMUM_PACKAGE_HEIGHT,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,MPN,OPERATING_TEMP,PACKAGE,PARTREV,PART_STATUS,POPULARITY,PRICE,RATING,ROHS_COMPLIANT,SERIES,SIMULATION_DATA,SNAPEDA_LINK,SNAPEDA_PN,STANDARD,SUB-CATEGORY,THERMALLOSS,TOLERANCE,TP_SIGNAL_NAME,TYPE,VOLTAGE_RATING
3,"0.2O 1206",R_CHIP-1206(3216-METRIC),RESC3216X70,"R18, R23, R32","Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"0O 1206",R_CHIP-1206(3216-METRIC),RESC3216X70,R27,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"1.2KO 0603",R_CHIP-0603(1608-METRIC),RESC1608X60,R24,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"1.5kO 0805",R_CHIP-0805(2012-METRIC),RESC2012X65,R50,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
4,"100KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,"R20, R37, R39, R57","Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
1,"100kO 0805",R_CHIP-0805(2012-METRIC),RESC2012X65,R49,"Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
3,"100nF 25V 0402",C_CHIP-0402(1005-METRIC),CAPC1005X60,"C35, C44, C48","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"100nF 50V 0805",C_CHIP-0805(2012-METRIC),CAPC2012X110,"C7, C11, C13, C14, C18, C20, C26","Capacitor - Generic",,,,Capacitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1012,1012,BAT_1012,"BT1, BT2",,,,,,,,,Keystone,,,15.11mm,,,,,,,,C,,,,,,,,,1012,"Manufacturer Recommendations",,,,,,
14,"10KO 0402",R_CHIP-0402(1005-METRIC),RESC1005X40,"R8, R9, R10, R11, R12, R13, R14, R15, R28, R29, R30, R34, R35, R36","Resistor Fixed - Generic",,,,Resistor,,,,,,,,,,,,,,,,,,,,,,,,,,Fixed,,,,,
